iteration,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed123__rel_l2_error,PINN__seed456__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed578__rel_l2_error,PINN__seed965__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed123__rel_l2_error,PINN-RAR__seed456__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed578__rel_l2_error,PINN-RAR__seed965__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed123__rel_l2_error,QPINN__seed456__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed578__rel_l2_error,QPINN__seed965__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed123__rel_l2_error,QPINN-RAR__seed456__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed578__rel_l2_error,QPINN-RAR__seed965__rel_l2_error
2500,0.012,0.013,0.0061,0.018,0.064,0.0094,0.012,0.015,0.019,0.022,0.013,0.033,0.013,0.02,0.02,0.016,0.02,0.017,0.025,0.019,0.0048,0.0068,0.0056,0.013,0.0046,0.0095,0.007,0.0066,0.006,0.0062,0.0042,0.0043,0.0055,0.0088,0.0064,0.0072,0.0088,0.0069,0.0044,0.0049
2600,0.0078,0.018,0.0065,0.014,0.018,0.02,0.0089,0.016,0.011,0.0095,0.015,0.012,0.0078,0.023,0.05,0.016,0.013,0.018,0.024,0.012,0.006,0.0067,0.0084,0.0099,0.0048,0.0053,0.0056,0.011,0.0081,0.0055,0.01,0.0078,0.0043,0.0092,0.0088,0.011,0.013,0.0067,0.0088,0.014
2700,0.024,0.01,0.0091,0.035,0.018,0.011,0.018,0.032,0.011,0.0095,0.012,0.014,0.018,0.021,0.02,0.015,0.023,0.028,0.023,0.023,0.0062,0.0062,0.0049,0.012,0.0055,0.005,0.0035,0.0068,0.0048,0.0051,0.0056,0.0068,0.0066,0.009,0.0058,0.0065,0.0059,0.0047,0.0076,0.0087
2800,0.019,0.027,0.0057,0.021,0.025,0.014,0.0099,0.1,0.02,0.019,0.008,0.025,0.016,0.022,0.017,0.026,0.011,0.025,0.015,0.013,0.0099,0.0078,0.0036,0.014,0.0031,0.011,0.0082,0.0047,0.0089,0.0085,0.0086,0.004,0.0067,0.0079,0.0077,0.0053,0.0069,0.0065,0.0081,0.0063
2900,0.0098,0.059,0.0084,0.014,0.035,0.0081,0.012,0.016,0.019,0.0094,0.0085,0.012,0.0082,0.022,0.023,0.016,0.011,0.043,0.016,0.029,0.005,0.0068,0.0083,0.0095,0.0035,0.005,0.0064,0.0051,0.007,0.006,0.0057,0.0033,0.0057,0.0099,0.0084,0.011,0.0066,0.0082,0.0055,0.0098
3000,0.038,0.029,0.0065,0.068,0.014,0.018,0.016,0.011,0.018,0.014,0.014,0.012,0.026,0.021,0.017,0.013,0.021,0.048,0.014,0.027,0.0051,0.0049,0.0068,0.016,0.0068,0.0054,0.0071,0.0061,0.0046,0.0085,0.0069,0.007,0.0061,0.0086,0.0094,0.012,0.0078,0.008,0.007,0.0092
3100,0.0063,0.0098,0.014,0.041,0.013,0.016,0.03,0.011,0.0078,0.023,0.012,0.0087,0.015,0.025,0.043,0.0087,0.019,0.064,0.024,0.017,0.0046,0.0053,0.006,0.012,0.0057,0.013,0.0052,0.01,0.0055,0.0049,0.0035,0.0063,0.0079,0.0071,0.0068,0.007,0.012,0.0048,0.0085,0.0059
3200,0.026,0.014,0.018,0.017,0.055,0.013,0.0087,0.018,0.0091,0.0097,0.011,0.013,0.013,0.046,0.019,0.0086,0.0079,0.012,0.0094,0.026,0.0061,0.0083,0.0077,0.013,0.0061,0.0042,0.0092,0.0063,0.007,0.0034,0.0073,0.0057,0.0066,0.0052,0.0048,0.0087,0.0095,0.0043,0.0046,0.0069
3300,0.019,0.013,0.01,0.031,0.018,0.0096,0.018,0.024,0.0081,0.043,0.015,0.012,0.014,0.013,0.018,0.0069,0.0061,0.01,0.014,0.027,0.0032,0.0058,0.0061,0.0098,0.006,0.0053,0.0062,0.0059,0.0062,0.0043,0.0063,0.0044,0.0062,0.0052,0.0063,0.0086,0.0068,0.0093,0.005,0.0074
3400,0.014,0.013,0.0035,0.013,0.016,0.011,0.012,0.017,0.0061,0.013,0.021,0.023,0.01,0.031,0.013,0.012,0.017,0.015,0.0058,0.0082,0.0043,0.0066,0.0058,0.0092,0.0039,0.003,0.0086,0.0071,0.0095,0.0079,0.0048,0.011,0.0069,0.0067,0.0082,0.0045,0.0058,0.0042,0.0055,0.0054
