iteration,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed20__loss,DV__seed20__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed123__loss,DV__seed123__rel_l2_error,DV__seed456__loss,DV__seed456__rel_l2_error,DV__seed487__loss,DV__seed487__rel_l2_error,DV__seed578__loss,DV__seed578__rel_l2_error,DV__seed965__loss,DV__seed965__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed20__loss,PINN__seed20__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed123__loss,PINN__seed123__rel_l2_error,PINN__seed456__loss,PINN__seed456__rel_l2_error,PINN__seed487__loss,PINN__seed487__rel_l2_error,PINN__seed578__loss,PINN__seed578__rel_l2_error,PINN__seed965__loss,PINN__seed965__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed20__loss,pinn-rar-s__seed20__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed123__loss,pinn-rar-s__seed123__rel_l2_error,pinn-rar-s__seed456__loss,pinn-rar-s__seed456__rel_l2_error,pinn-rar-s__seed487__loss,pinn-rar-s__seed487__rel_l2_error,pinn-rar-s__seed578__loss,pinn-rar-s__seed578__rel_l2_error,pinn-rar-s__seed965__loss,pinn-rar-s__seed965__rel_l2_error
2000,0.0001,0.0071,0.00019,0.0056,0.00012,0.0065,0.00026,0.0079,0.00021,0.0068,0.0002,0.012,0.00021,0.011,0.00016,0.0071,0.00013,0.0073,0.00022,0.012,0.00028,0.021,0.00057,0.032,0.00026,0.014,0.00034,0.026,0.0007,0.058,0.0002,0.015,0.00023,0.02,0.00024,0.013,0.00016,0.019,0.00023,0.048,0.00028,0.021,0.00057,0.032,0.00026,0.014,0.00034,0.026,0.0007,0.058,0.0002,0.015,0.00023,0.02,0.00024,0.013,0.00016,0.019,0.00023,0.048
2100,0.0001,0.0055,0.00032,0.0058,0.00014,0.011,0.00022,0.008,9.1e-05,0.011,9.6e-05,0.011,0.00022,0.012,0.00013,0.0072,0.00012,0.0063,0.00023,0.0094,0.00044,0.021,0.00046,0.024,0.00014,0.0076,0.00041,0.02,0.0008,0.032,0.00037,0.036,0.00025,0.032,0.00036,0.011,9.4e-05,0.022,0.00029,0.015,0.00034,0.019,0.00059,0.069,0.00025,0.012,0.00057,0.043,0.0006,0.033,0.00045,0.022,0.00038,0.061,0.00052,0.025,0.00019,0.024,0.00023,0.038
2200,0.00013,0.0045,0.00018,0.0058,0.00018,0.0063,0.00016,0.012,6.2e-05,0.0053,6.3e-05,0.0066,0.00013,0.012,0.00011,0.0087,0.00015,0.0066,0.00014,0.011,0.00039,0.01,0.00023,0.065,0.00018,0.0096,0.00047,0.013,0.00044,0.052,0.00022,0.041,0.00026,0.015,0.00031,0.026,9.1e-05,0.017,0.00021,0.034,0.00033,0.016,0.00069,0.11,0.0002,0.014,0.00042,0.048,0.00044,0.044,0.00031,0.018,0.00052,0.026,0.00034,0.043,0.00015,0.011,0.00026,0.014
2300,7.2e-05,0.0091,7.2e-05,0.009,0.00012,0.0058,0.00013,0.0092,5.9e-05,0.0093,0.0001,0.0087,9.8e-05,0.008,9e-05,0.0067,0.00013,0.0066,0.00011,0.0076,0.00029,0.03,0.00033,0.012,9.3e-05,0.0055,0.00045,0.015,0.00078,0.036,0.00019,0.022,0.00041,0.024,0.00017,0.011,6.3e-05,0.034,0.00025,0.022,0.0011,0.052,0.00039,0.033,0.00012,0.0076,0.00057,0.021,0.00054,0.027,0.00058,0.091,0.0003,0.025,0.00026,0.023,0.00014,0.028,0.00023,0.02
2400,6.7e-05,0.0056,0.00011,0.005,6.3e-05,0.006,0.00023,0.0075,0.0001,0.0063,9.2e-05,0.0086,0.00014,0.0058,0.00024,0.0091,0.00014,0.005,0.00015,0.013,0.00033,0.017,0.00038,0.015,0.00024,0.019,0.00035,0.013,0.00044,0.023,0.00019,0.015,0.00024,0.02,0.00035,0.033,0.00012,0.011,0.00024,0.011,0.00037,0.013,0.00036,0.018,0.00019,0.01,0.00052,0.02,0.00053,0.02,0.00062,0.098,0.00034,0.011,0.00034,0.029,0.00013,0.027,0.00021,0.018
2500,0.00012,0.0042,6.6e-05,0.0043,9.7e-05,0.0055,0.00021,0.0088,7.7e-05,0.0064,0.00012,0.0072,0.00015,0.0088,0.00012,0.0069,0.00015,0.0044,0.00014,0.0049,0.00041,0.012,0.00028,0.013,7.2e-05,0.0061,0.00027,0.018,0.00055,0.064,0.00022,0.0094,0.00028,0.012,0.00036,0.015,9.9e-05,0.019,0.00028,0.022,0.00042,0.013,0.00028,0.033,0.00019,0.013,0.00046,0.02,0.00062,0.02,0.00035,0.016,0.00028,0.02,0.00027,0.017,0.00017,0.025,0.00019,0.019
2600,5.2e-05,0.01,0.0001,0.0078,0.00011,0.0043,8.5e-05,0.0092,7e-05,0.0088,7.6e-05,0.011,0.00018,0.013,0.00015,0.0067,0.00013,0.0088,0.0001,0.014,0.0003,0.0078,0.00026,0.018,5e-05,0.0065,0.00082,0.014,0.00046,0.018,0.00014,0.02,0.00019,0.0089,0.00016,0.016,0.0001,0.011,0.0002,0.0095,0.00032,0.015,0.0003,0.012,0.00022,0.0078,0.00033,0.023,0.00044,0.05,0.00025,0.016,0.00024,0.013,0.0003,0.018,0.00011,0.024,0.00017,0.012
2700,5.4e-05,0.0056,0.00014,0.0068,9e-05,0.0066,9.5e-05,0.009,0.00011,0.0058,0.00011,0.0065,7.9e-05,0.0059,0.00011,0.0047,6.7e-05,0.0076,5.8e-05,0.0087,0.00028,0.024,0.00027,0.01,9.9e-05,0.0091,0.00032,0.035,0.00058,0.018,0.0001,0.011,0.00015,0.018,0.00038,0.032,0.00014,0.011,0.00017,0.0095,0.00027,0.012,0.00044,0.014,6e-05,0.018,0.00028,0.021,0.00041,0.02,0.00021,0.015,0.00016,0.023,0.00027,0.028,0.00017,0.023,0.00013,0.023
2800,4.4e-05,0.0086,6.5e-05,0.004,8.5e-05,0.0067,0.00015,0.0079,0.00015,0.0077,7.1e-05,0.0053,9.8e-05,0.0069,0.00012,0.0065,6.7e-05,0.0081,0.00012,0.0063,0.00036,0.019,0.00024,0.027,5.4e-05,0.0057,0.00033,0.021,0.00039,0.025,0.00011,0.014,0.00011,0.0099,0.00049,0.1,5.7e-05,0.02,0.00019,0.019,0.00019,0.008,0.00035,0.025,0.00011,0.016,0.00043,0.022,0.00036,0.017,0.00024,0.026,7.8e-05,0.011,0.00023,0.025,0.00012,0.015,0.00014,0.013
2900,6.2e-05,0.0057,4.3e-05,0.0033,0.00011,0.0057,9.8e-05,0.0099,8.9e-05,0.0084,5.1e-05,0.011,7.9e-05,0.0066,0.00013,0.0082,0.00017,0.0055,8.6e-05,0.0098,0.00018,0.0098,0.0004,0.059,8.1e-05,0.0084,0.00026,0.014,0.0005,0.035,6.9e-05,0.0081,0.00019,0.012,0.00041,0.016,6.2e-05,0.019,0.00018,0.0094,0.00019,0.0085,0.00035,0.012,0.00015,0.0082,0.0003,0.022,0.00052,0.023,0.00011,0.016,0.00017,0.011,0.00032,0.043,0.0001,0.016,0.00015,0.029
