iteration,PINN__seed2__loss,PINN__seed3__loss,PINN__seed20__loss,PINN__seed42__loss,PINN__seed88__loss,PINN__seed123__loss,PINN__seed456__loss,PINN__seed487__loss,PINN__seed578__loss,PINN__seed965__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed42__loss,PINN-RAR__seed88__loss,PINN-RAR__seed123__loss,PINN-RAR__seed456__loss,PINN-RAR__seed487__loss,PINN-RAR__seed578__loss,PINN-RAR__seed965__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed42__loss,QPINN__seed88__loss,QPINN__seed123__loss,QPINN__seed456__loss,QPINN__seed487__loss,QPINN__seed578__loss,QPINN__seed965__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed123__loss,QPINN-RAR__seed456__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed578__loss,QPINN-RAR__seed965__loss
2300,0.00029,0.00033,9.3e-05,0.00045,0.00078,0.00019,0.00041,0.00017,6.3e-05,0.00025,0.0011,0.00039,0.00012,0.00057,0.00054,0.00058,0.0003,0.00026,0.00014,0.00023,0.00012,0.00011,0.0001,0.00038,0.00013,0.00013,0.00017,0.00013,0.0001,7.8e-05,7.2e-05,7.2e-05,0.00012,0.00013,5.9e-05,0.0001,9.8e-05,9e-05,0.00013,0.00011
2400,0.00033,0.00038,0.00024,0.00035,0.00044,0.00019,0.00024,0.00035,0.00012,0.00024,0.00037,0.00036,0.00019,0.00052,0.00053,0.00062,0.00034,0.00034,0.00013,0.00021,0.00014,0.0001,0.00018,0.00016,8.6e-05,0.00014,7.9e-05,0.00015,0.00015,9.1e-05,6.7e-05,0.00011,6.3e-05,0.00023,0.0001,9.2e-05,0.00014,0.00024,0.00014,0.00015
2500,0.00041,0.00028,7.2e-05,0.00027,0.00055,0.00022,0.00028,0.00036,9.9e-05,0.00028,0.00042,0.00028,0.00019,0.00046,0.00062,0.00035,0.00028,0.00027,0.00017,0.00019,0.00011,6.7e-05,4.7e-05,0.00016,8.8e-05,7.9e-05,6.5e-05,0.00011,0.00011,7.7e-05,0.00012,6.6e-05,9.7e-05,0.00021,7.7e-05,0.00012,0.00015,0.00012,0.00015,0.00014
2600,0.0003,0.00026,5e-05,0.00082,0.00046,0.00014,0.00019,0.00016,0.0001,0.0002,0.00032,0.0003,0.00022,0.00033,0.00044,0.00025,0.00024,0.0003,0.00011,0.00017,9.3e-05,4.4e-05,7.8e-05,0.00031,5e-05,0.00012,6.1e-05,8.5e-05,0.00012,6.4e-05,5.2e-05,0.0001,0.00011,8.5e-05,7e-05,7.6e-05,0.00018,0.00015,0.00013,0.0001
2700,0.00028,0.00027,9.9e-05,0.00032,0.00058,0.0001,0.00015,0.00038,0.00014,0.00017,0.00027,0.00044,6e-05,0.00028,0.00041,0.00021,0.00016,0.00027,0.00017,0.00013,7.4e-05,6.5e-05,5.5e-05,0.00018,8.4e-05,8.1e-05,7.8e-05,0.00017,0.00012,5.7e-05,5.4e-05,0.00014,9e-05,9.5e-05,0.00011,0.00011,7.9e-05,0.00011,6.7e-05,5.8e-05
2800,0.00036,0.00024,5.4e-05,0.00033,0.00039,0.00011,0.00011,0.00049,5.7e-05,0.00019,0.00019,0.00035,0.00011,0.00043,0.00036,0.00024,7.8e-05,0.00023,0.00012,0.00014,0.00012,4.1e-05,6.6e-05,0.0002,3.4e-05,6.3e-05,2.8e-05,0.00012,8e-05,3.5e-05,4.4e-05,6.5e-05,8.5e-05,0.00015,0.00015,7.1e-05,9.8e-05,0.00012,6.7e-05,0.00012
2900,0.00018,0.0004,8.1e-05,0.00026,0.0005,6.9e-05,0.00019,0.00041,6.2e-05,0.00018,0.00019,0.00035,0.00015,0.0003,0.00052,0.00011,0.00017,0.00032,0.0001,0.00015,4.3e-05,5.7e-05,5.8e-05,0.00018,5.9e-05,7.6e-05,7.3e-05,0.00011,5.3e-05,8.2e-05,6.2e-05,4.3e-05,0.00011,9.8e-05,8.9e-05,5.1e-05,7.9e-05,0.00013,0.00017,8.6e-05
3000,0.0003,0.00023,6.4e-05,0.00026,0.00055,0.00015,0.00014,0.00016,0.00013,0.00011,0.0002,0.00027,0.00012,0.00027,0.00034,0.00012,0.00011,0.00012,9.6e-05,0.00019,0.00011,7.7e-05,4.1e-05,0.00014,0.00013,9.2e-05,7.8e-05,9.5e-05,0.00011,2.7e-05,5.3e-05,7.4e-05,7.2e-05,0.00011,8.9e-05,6.1e-05,9.4e-05,8.5e-05,3.8e-05,8.1e-05
3100,0.0002,0.00031,7.5e-05,0.0002,0.00039,0.00014,0.00013,0.00024,5.9e-05,0.00023,0.00022,0.00027,7.5e-05,0.00037,0.00024,0.00012,9.6e-05,0.00023,8.5e-05,9e-05,8e-05,7e-05,2.7e-05,0.00012,3e-05,7.5e-05,0.00011,0.00013,6.6e-05,7e-05,4.7e-05,6.9e-05,8.1e-05,8.1e-05,6e-05,4.2e-05,0.00011,4.5e-05,9.4e-05,8.7e-05
3200,0.00012,0.00017,0.00017,0.00023,0.00036,0.00021,0.00016,0.00017,7.9e-05,0.00022,0.0002,0.00046,6.4e-05,0.00021,0.00038,0.00011,5.5e-05,0.00019,0.00011,0.00018,2.9e-05,3.4e-05,7.2e-05,8.5e-05,4e-05,4.3e-05,6.3e-05,5.7e-05,0.00011,6.1e-05,8.3e-05,0.00012,6.7e-05,0.00011,5.2e-05,0.00012,0.00011,8.1e-05,4.8e-05,0.00014
