iteration,PINN__seed3__loss,PINN__seed20__loss,PINN__seed57__loss,PINN__seed73__loss,PINN__seed88__loss,PINN__seed487__loss,PINN__seed672__loss,PINN__seed954__loss,PINN__seed3407__loss,PINN__seed114514__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed57__loss,PINN-RAR__seed73__loss,PINN-RAR__seed88__loss,PINN-RAR__seed487__loss,PINN-RAR__seed672__loss,PINN-RAR__seed954__loss,PINN-RAR__seed3407__loss,PINN-RAR__seed114514__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed57__loss,QPINN__seed73__loss,QPINN__seed88__loss,QPINN__seed487__loss,QPINN__seed672__loss,QPINN__seed954__loss,QPINN__seed3407__loss,QPINN__seed114514__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed57__loss,QPINN-RAR__seed73__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed672__loss,QPINN-RAR__seed954__loss,QPINN-RAR__seed3407__loss,QPINN-RAR__seed114514__loss
2700,0.00042,2.4e-05,1.8e-05,5.7e-05,0.00048,3.3e-05,2.4e-05,2.6e-05,2e-05,0.00047,0.00042,3.9e-05,2.7e-05,8.5e-05,0.00034,3.2e-05,2.2e-05,5.1e-05,3.1e-05,0.00034,0.0001,3e-05,2.3e-05,9.9e-05,6.6e-05,2.7e-05,0.00011,4.3e-05,0.00013,6.3e-05,8.4e-05,1.9e-05,2.6e-05,7.6e-05,0.00012,2.8e-05,7.2e-05,7.3e-05,5.3e-05,3.5e-05
2800,0.00047,1.5e-05,1.1e-05,4.4e-05,0.00044,2.1e-05,1.4e-05,4.5e-05,1.9e-05,0.00047,0.00041,2.1e-05,2.1e-05,9.1e-05,0.00056,2.3e-05,2.7e-05,3.7e-05,1.8e-05,0.0004,0.0001,2.2e-05,2.1e-05,5.9e-05,5.4e-05,1.9e-05,8.2e-05,5e-05,9.5e-05,4.6e-05,6.5e-05,2.2e-05,2.9e-05,7.4e-05,5e-05,2.3e-05,7.2e-05,3.4e-05,7.1e-05,3.2e-05
2900,0.00041,1.5e-05,1.8e-05,3.5e-05,0.00045,3e-05,1.1e-05,2.8e-05,1.4e-05,0.00053,0.0004,3.3e-05,2e-05,3.8e-05,0.0005,2e-05,1.7e-05,3.3e-05,1.5e-05,0.00059,7e-05,2.6e-05,1.6e-05,6.4e-05,7.1e-05,2.3e-05,3.3e-05,3.1e-05,6.1e-05,3.9e-05,0.00011,2.5e-05,2e-05,8.6e-05,7.7e-05,2.6e-05,0.00011,3.2e-05,5.6e-05,4e-05
3000,0.00042,1.6e-05,1.2e-05,4.3e-05,0.00054,2.1e-05,9.1e-06,2.4e-05,1.4e-05,0.00047,0.00031,2e-05,2.1e-05,4.9e-05,0.00046,1.9e-05,1.6e-05,2e-05,4.3e-05,0.00052,9.2e-05,1.8e-05,1.7e-05,7.2e-05,7.3e-05,2e-05,4e-05,4.5e-05,3e-05,2.3e-05,8.4e-05,2.5e-05,2e-05,4.7e-05,5.3e-05,1.3e-05,4.8e-05,3.2e-05,3e-05,4.8e-05
3100,0.00036,1.2e-05,2.1e-05,3.4e-05,0.00041,1.7e-05,1.1e-05,2.9e-05,1.2e-05,0.00055,0.00033,1.7e-05,2.3e-05,3.5e-05,0.00039,1.6e-05,1.4e-05,2.2e-05,2.5e-05,0.00038,6.3e-05,2.4e-05,1.2e-05,7.3e-05,4e-05,1.6e-05,2.7e-05,4.4e-05,3.7e-05,2.9e-05,5.2e-05,2.1e-05,1.6e-05,7.4e-05,6.1e-05,2.3e-05,5.3e-05,2.5e-05,6e-05,3.2e-05
3200,0.0003,1.7e-05,9.2e-06,1.8e-05,0.0005,1.8e-05,1.2e-05,3.1e-05,1.4e-05,0.00038,0.00027,2.2e-05,1.2e-05,4.4e-05,0.00053,1.2e-05,1.8e-05,1.1e-05,1.7e-05,0.00038,5.1e-05,2e-05,1.4e-05,5.7e-05,6.2e-05,1.7e-05,5.7e-05,2.6e-05,3.7e-05,3.7e-05,3.8e-05,2.1e-05,1.4e-05,4.5e-05,5.3e-05,1.9e-05,3.2e-05,3.6e-05,3.4e-05,4.5e-05
3300,0.00027,1.6e-05,1e-05,2.8e-05,0.00042,1.3e-05,6.7e-06,1.8e-05,8.5e-06,0.00039,0.00025,1.9e-05,1e-05,3.7e-05,0.00031,1.4e-05,1.7e-05,1.3e-05,2.2e-05,0.0006,7e-05,1.8e-05,1.2e-05,3.8e-05,4.6e-05,1.3e-05,2.7e-05,3.3e-05,2.5e-05,3.2e-05,5.8e-05,1.3e-05,1.4e-05,5.2e-05,4.4e-05,1.7e-05,3.1e-05,2.9e-05,2.4e-05,3.3e-05
3400,0.00015,1.1e-05,1.1e-05,3.1e-05,0.00041,1.6e-05,1.7e-05,1.3e-05,9.5e-06,0.00039,0.00015,1.6e-05,1.1e-05,3e-05,0.00036,1.2e-05,8.8e-06,3.1e-05,1.9e-05,0.00036,3.5e-05,1.6e-05,1.9e-05,3.7e-05,3.7e-05,2.3e-05,2.8e-05,2.6e-05,2.4e-05,2.8e-05,4.3e-05,1.5e-05,1.7e-05,5.2e-05,6.9e-05,2.3e-05,3.5e-05,2.4e-05,2.6e-05,2.4e-05
3500,0.0002,1.1e-05,1.1e-05,2e-05,0.00028,1.7e-05,1.3e-05,2.6e-05,1e-05,0.00048,0.00019,1.6e-05,1.1e-05,4.4e-05,0.00029,1.1e-05,1.5e-05,1.7e-05,6.2e-06,0.00026,6.8e-05,2e-05,1.6e-05,4.6e-05,2.2e-05,1.5e-05,2.5e-05,3.9e-05,2.2e-05,2.7e-05,4.4e-05,1.4e-05,7.9e-06,6.4e-05,2.5e-05,1.8e-05,3.8e-05,2.2e-05,4.2e-05,3.4e-05
3600,0.00013,1.3e-05,1.1e-05,2.1e-05,0.00019,9e-06,6.1e-06,1.5e-05,1.3e-05,0.00036,0.00018,1.5e-05,1.3e-05,3e-05,0.00032,9.8e-06,2.4e-05,2.7e-05,2.5e-05,0.00032,3.8e-05,1.7e-05,1.2e-05,2.8e-05,3.2e-05,1.3e-05,1.8e-05,2e-05,2.1e-05,2.1e-05,5.2e-05,1.1e-05,2.1e-05,3.8e-05,3.9e-05,1e-05,2.8e-05,2.7e-05,1.7e-05,3e-05
