iteration,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed57__rel_l2_error,PINN__seed73__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed672__rel_l2_error,PINN__seed954__rel_l2_error,PINN__seed3407__rel_l2_error,PINN__seed114514__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed57__rel_l2_error,PINN-RAR__seed73__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed672__rel_l2_error,PINN-RAR__seed954__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,PINN-RAR__seed114514__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed57__rel_l2_error,QPINN__seed73__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed672__rel_l2_error,QPINN__seed954__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN__seed114514__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed57__rel_l2_error,QPINN-RAR__seed73__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed672__rel_l2_error,QPINN-RAR__seed954__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error,QPINN-RAR__seed114514__rel_l2_error
4800,0.023,0.011,0.013,0.014,0.03,0.022,0.009,0.014,0.0064,0.042,0.024,0.013,0.01,0.031,0.026,0.0063,0.014,0.015,0.024,0.034,0.018,0.0073,0.0084,0.017,0.014,0.011,0.016,0.02,0.014,0.01,0.017,0.01,0.012,0.016,0.018,0.013,0.011,0.025,0.014,0.013
4900,0.018,0.02,0.0097,0.029,0.031,0.016,0.015,0.013,0.0077,0.036,0.014,0.011,0.017,0.0093,0.032,0.01,0.012,0.015,0.011,0.028,0.016,0.012,0.0075,0.015,0.018,0.0098,0.016,0.023,0.015,0.014,0.019,0.015,0.015,0.026,0.019,0.01,0.013,0.018,0.012,0.012
5000,0.017,0.012,0.013,0.02,0.028,0.019,0.012,0.017,0.0096,0.034,0.017,0.0079,0.016,0.024,0.028,0.01,0.021,0.018,0.028,0.029,0.017,0.011,0.011,0.018,0.017,0.013,0.018,0.031,0.015,0.0099,0.015,0.0096,0.013,0.024,0.019,0.012,0.018,0.019,0.024,0.01
5100,0.015,0.011,0.0092,0.037,0.021,0.015,0.0094,0.031,0.0096,0.026,0.015,0.0076,0.0087,0.013,0.023,0.015,0.013,0.0086,0.0094,0.028,0.015,0.0084,0.016,0.024,0.015,0.0083,0.012,0.018,0.011,0.0096,0.022,0.0071,0.0084,0.016,0.017,0.011,0.014,0.019,0.014,0.012
5200,0.028,0.0086,0.013,0.0076,0.016,0.011,0.012,0.021,0.01,0.027,0.011,0.012,0.015,0.032,0.031,0.0052,0.0096,0.022,0.011,0.024,0.014,0.0069,0.013,0.015,0.013,0.0074,0.012,0.019,0.015,0.011,0.016,0.011,0.012,0.018,0.019,0.014,0.012,0.015,0.011,0.0079
5300,0.013,0.0067,0.012,0.012,0.019,0.018,0.013,0.011,0.014,0.025,0.013,0.012,0.021,0.013,0.047,0.0097,0.017,0.017,0.006,0.028,0.022,0.0067,0.0068,0.015,0.024,0.011,0.021,0.018,0.015,0.011,0.016,0.011,0.019,0.015,0.023,0.011,0.014,0.015,0.012,0.0077
5400,0.014,0.011,0.013,0.014,0.027,0.014,0.014,0.016,0.02,0.022,0.019,0.016,0.012,0.0093,0.035,0.015,0.0086,0.019,0.0079,0.027,0.016,0.011,0.0065,0.017,0.016,0.01,0.016,0.017,0.0091,0.0079,0.016,0.02,0.0088,0.015,0.023,0.011,0.015,0.016,0.019,0.013
5500,0.015,0.012,0.018,0.038,0.019,0.011,0.017,0.013,0.01,0.022,0.019,0.008,0.01,0.012,0.017,0.011,0.011,0.014,0.012,0.03,0.015,0.0066,0.012,0.02,0.018,0.0089,0.0074,0.017,0.017,0.0084,0.019,0.0074,0.013,0.018,0.018,0.01,0.013,0.02,0.013,0.0099
5600,0.016,0.0071,0.011,0.018,0.022,0.012,0.017,0.015,0.016,0.033,0.012,0.008,0.011,0.015,0.035,0.014,0.014,0.008,0.013,0.025,0.015,0.0066,0.012,0.019,0.016,0.0087,0.012,0.02,0.0093,0.0092,0.013,0.0072,0.0097,0.014,0.015,0.013,0.015,0.012,0.02,0.0088
5700,0.014,0.0063,0.013,0.014,0.018,0.017,0.011,0.02,0.0057,0.028,0.017,0.011,0.0058,0.012,0.018,0.0098,0.02,0.0074,0.0084,0.034,0.016,0.0059,0.0096,0.017,0.011,0.011,0.0096,0.015,0.013,0.0074,0.013,0.011,0.01,0.013,0.016,0.012,0.012,0.015,0.02,0.012
5800,0.013,0.034,0.012,0.045,0.026,0.0084,0.012,0.01,0.005,0.022,0.02,0.0079,0.012,0.011,0.03,0.017,0.0072,0.023,0.0094,0.022,0.013,0.008,0.0082,0.013,0.013,0.012,0.01,0.015,0.0081,0.011,0.016,0.012,0.0065,0.024,0.012,0.0078,0.016,0.013,0.01,0.0085
5900,0.015,0.027,0.0084,0.013,0.018,0.0078,0.017,0.022,0.013,0.017,0.012,0.02,0.0086,0.01,0.017,0.031,0.0071,0.031,0.011,0.014,0.011,0.0088,0.0091,0.017,0.013,0.014,0.0099,0.015,0.013,0.0064,0.011,0.0059,0.0077,0.017,0.023,0.0084,0.0098,0.015,0.012,0.0094
6000,0.011,0.015,0.016,0.033,0.025,0.01,0.012,0.013,0.0054,0.03,0.015,0.031,0.015,0.02,0.025,0.011,0.0069,0.0083,0.0077,0.017,0.0097,0.0047,0.013,0.011,0.013,0.0098,0.011,0.015,0.01,0.0069,0.017,0.013,0.0098,0.021,0.012,0.016,0.018,0.019,0.015,0.01
6100,0.0082,0.01,0.0084,0.02,0.034,0.016,0.01,0.02,0.02,0.033,0.027,0.018,0.013,0.015,0.027,0.02,0.009,0.0065,0.013,0.024,0.013,0.0067,0.0078,0.018,0.017,0.016,0.0081,0.017,0.013,0.014,0.017,0.01,0.013,0.019,0.019,0.011,0.015,0.01,0.013,0.012
6200,0.012,0.018,0.012,0.027,0.016,0.015,0.0076,0.011,0.013,0.02,0.01,0.0059,0.0064,0.049,0.016,0.0067,0.0065,0.0075,0.0081,0.024,0.01,0.006,0.012,0.011,0.013,0.0068,0.0087,0.015,0.01,0.0082,0.0086,0.0043,0.01,0.015,0.014,0.0062,0.014,0.014,0.014,0.0072
6300,0.0094,0.0092,0.0073,0.013,0.02,0.016,0.0084,0.0082,0.008,0.021,0.0071,0.007,0.024,0.01,0.02,0.0087,0.025,0.0081,0.0064,0.034,0.01,0.011,0.012,0.012,0.012,0.012,0.0076,0.011,0.0078,0.0063,0.01,0.0075,0.009,0.01,0.018,0.0091,0.015,0.014,0.0094,0.0094
6400,0.017,0.028,0.0095,0.01,0.014,0.013,0.015,0.039,0.0075,0.021,0.022,0.019,0.0093,0.013,0.024,0.023,0.0095,0.0084,0.0053,0.025,0.013,0.0059,0.0075,0.013,0.013,0.0089,0.007,0.019,0.013,0.0081,0.013,0.006,0.009,0.013,0.018,0.011,0.0084,0.013,0.015,0.0092
6500,0.0081,0.0061,0.011,0.016,0.019,0.0061,0.013,0.013,0.0064,0.026,0.011,0.0093,0.0083,0.023,0.039,0.018,0.018,0.011,0.0089,0.034,0.01,0.0089,0.006,0.012,0.017,0.0087,0.0076,0.016,0.01,0.0064,0.018,0.0074,0.0095,0.013,0.016,0.01,0.016,0.011,0.014,0.011
6600,0.01,0.014,0.009,0.031,0.03,0.014,0.0071,0.0077,0.0032,0.028,0.011,0.011,0.0077,0.014,0.024,0.011,0.018,0.015,0.0074,0.031,0.012,0.005,0.01,0.011,0.015,0.01,0.01,0.012,0.0098,0.015,0.012,0.0073,0.013,0.0097,0.014,0.0063,0.0085,0.017,0.0099,0.0088
6700,0.02,0.009,0.0095,0.014,0.016,0.0092,0.018,0.01,0.0076,0.013,0.0077,0.021,0.0085,0.017,0.037,0.01,0.02,0.056,0.011,0.017,0.014,0.007,0.0065,0.0072,0.016,0.011,0.011,0.012,0.022,0.0063,0.0099,0.0067,0.012,0.014,0.011,0.009,0.0084,0.01,0.017,0.0054
6800,0.015,0.013,0.017,0.01,0.022,0.01,0.01,0.015,0.0098,0.017,0.0074,0.0092,0.023,0.015,0.018,0.013,0.037,0.011,0.026,0.019,0.011,0.0051,0.013,0.011,0.015,0.0086,0.011,0.013,0.0091,0.0078,0.011,0.0065,0.015,0.0086,0.016,0.0098,0.017,0.012,0.011,0.011
6900,0.012,0.0093,0.024,0.041,0.021,0.013,0.0073,0.0064,0.0098,0.013,0.023,0.0064,0.0078,0.029,0.014,0.0075,0.012,0.014,0.0045,0.036,0.01,0.0045,0.0099,0.013,0.017,0.014,0.013,0.0089,0.0091,0.006,0.013,0.0072,0.011,0.011,0.011,0.0062,0.01,0.02,0.011,0.0069
