iteration,PINN__seed1__loss,PINN__seed2__loss,PINN__seed3__loss,PINN__seed10__loss,PINN__seed42__loss,PINN__seed68__loss,PINN__seed79__loss,PINN__seed88__loss,PINN__seed203__loss,PINN__seed3407__loss,PINN-RAR__seed1__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed10__loss,PINN-RAR__seed42__loss,PINN-RAR__seed68__loss,PINN-RAR__seed79__loss,PINN-RAR__seed88__loss,PINN-RAR__seed203__loss,PINN-RAR__seed3407__loss,QPINN__seed1__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed10__loss,QPINN__seed42__loss,QPINN__seed68__loss,QPINN__seed79__loss,QPINN__seed88__loss,QPINN__seed203__loss,QPINN__seed3407__loss,QPINN-RAR__seed1__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed10__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed68__loss,QPINN-RAR__seed79__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed203__loss,QPINN-RAR__seed3407__loss
3100,0.0011,0.0012,0.0015,0.0014,0.0019,0.00092,0.0013,0.00079,0.0011,0.00046,0.00096,0.0019,0.0025,0.0021,0.0019,0.002,0.0021,0.0015,0.0013,0.00052,0.0024,0.002,0.0016,0.002,0.003,0.00093,0.0011,0.0022,0.0011,0.0021,0.0014,0.0025,0.0018,0.0029,0.0033,0.005,0.0027,0.003,0.0035,0.00089
3200,0.0015,0.0013,0.0014,0.0025,0.0025,0.0011,0.001,0.00084,0.0016,0.00085,0.0024,0.0019,0.0029,0.0025,0.0032,0.0019,0.0019,0.0014,0.0015,0.00064,0.0031,0.0019,0.0031,0.0013,0.0043,0.002,0.0013,0.00081,0.0023,0.002,0.0033,0.0029,0.0025,0.0037,0.0031,0.0058,0.0036,0.0034,0.0021,0.0011
3300,0.0014,0.0015,0.0012,0.00092,0.0012,0.0012,0.00061,0.00097,0.001,0.00044,0.0023,0.0027,0.0019,0.0015,0.0024,0.0025,0.0019,0.00096,0.0021,0.00091,0.0014,0.0013,0.0019,0.00095,0.0031,0.0018,0.0015,0.0019,0.0012,0.0013,0.002,0.0041,0.0025,0.0019,0.002,0.0041,0.0041,0.0024,0.0017,0.0014
3400,0.0012,0.0015,0.0014,0.00099,0.0012,0.0015,0.0011,0.00045,0.0022,0.00039,0.0014,0.0021,0.0018,0.0017,0.0031,0.0017,0.0011,0.0011,0.0014,0.0013,0.0025,0.0015,0.0021,0.0011,0.0019,0.0012,0.0012,0.0019,0.0014,0.0025,0.0016,0.0037,0.0035,0.0034,0.0026,0.0057,0.0027,0.0017,0.002,0.001
3500,0.00091,0.0014,0.0015,0.0014,0.0012,0.001,0.0012,0.00073,0.0013,0.00054,0.0028,0.0025,0.0035,0.0017,0.0015,0.002,0.0017,0.0011,0.0011,0.0012,0.00089,0.0018,0.0012,0.00097,0.0023,0.0014,0.0013,0.0012,0.0015,0.0011,0.0017,0.005,0.0038,0.0034,0.003,0.0039,0.0045,0.0018,0.0015,0.0014
3600,0.00098,0.0009,0.0019,0.0011,0.00058,0.00087,0.00076,0.00085,0.0029,0.001,0.0014,0.0025,0.0017,0.0021,0.0022,0.0014,0.001,0.0011,0.00066,0.0006,0.0013,0.0014,0.0014,0.00076,0.0025,0.0012,0.00076,0.0023,0.0019,0.0034,0.001,0.003,0.0022,0.0023,0.0023,0.0029,0.004,0.0026,0.0022,0.0014
3700,0.0013,0.001,0.001,0.0024,0.0011,0.001,0.0006,0.00083,0.00089,0.0005,0.002,0.0025,0.0025,0.0014,0.0017,0.0022,0.0012,0.0012,0.0014,0.00085,0.0032,0.0018,0.0014,0.00098,0.0021,0.0017,0.0043,0.0015,0.0012,0.0016,0.0028,0.0036,0.0022,0.003,0.0023,0.0048,0.0018,0.0013,0.0042,0.0014
3800,0.0011,0.0011,0.0011,0.0012,0.0016,0.0017,0.0007,0.00042,0.0012,0.00042,0.00077,0.0015,0.002,0.0021,0.0015,0.0013,0.0012,0.0014,0.001,0.00072,0.0026,0.0015,0.0012,0.00041,0.0019,0.0014,0.0011,0.0012,0.0011,0.0011,0.0011,0.0029,0.0024,0.001,0.0018,0.004,0.0023,0.0027,0.0029,0.0013
3900,0.00089,0.0015,0.0012,0.00064,0.0012,0.0009,0.0013,0.00027,0.001,0.0004,0.00071,0.0019,0.00095,0.0016,0.0017,0.0013,0.00097,0.0013,0.00076,0.00055,0.00095,0.0016,0.0015,0.00049,0.002,0.003,0.0028,0.00087,0.00097,0.0013,0.0016,0.0019,0.002,0.0013,0.0023,0.002,0.00094,0.0023,0.0012,0.00061
4000,0.00059,0.00059,0.00089,0.00068,0.0011,0.00083,0.00066,0.00076,0.0011,0.00061,0.0015,0.0015,0.0028,0.0015,0.0016,0.0017,0.00081,0.0012,0.0011,0.00065,0.0018,0.001,0.0011,0.00067,0.0023,0.0009,0.0013,0.0012,0.0013,0.0023,0.0016,0.0024,0.0033,0.0027,0.0015,0.0026,0.0036,0.0016,0.003,0.001
