iteration,DV__seed1__loss,DV__seed1__rel_l2_error,DV__seed2__loss,DV__seed2__rel_l2_error,DV__seed3__loss,DV__seed3__rel_l2_error,DV__seed10__loss,DV__seed10__rel_l2_error,DV__seed42__loss,DV__seed42__rel_l2_error,DV__seed68__loss,DV__seed68__rel_l2_error,DV__seed79__loss,DV__seed79__rel_l2_error,DV__seed88__loss,DV__seed88__rel_l2_error,DV__seed203__loss,DV__seed203__rel_l2_error,DV__seed3407__loss,DV__seed3407__rel_l2_error,PINN__seed1__loss,PINN__seed1__rel_l2_error,PINN__seed2__loss,PINN__seed2__rel_l2_error,PINN__seed3__loss,PINN__seed3__rel_l2_error,PINN__seed10__loss,PINN__seed10__rel_l2_error,PINN__seed42__loss,PINN__seed42__rel_l2_error,PINN__seed68__loss,PINN__seed68__rel_l2_error,PINN__seed79__loss,PINN__seed79__rel_l2_error,PINN__seed88__loss,PINN__seed88__rel_l2_error,PINN__seed203__loss,PINN__seed203__rel_l2_error,PINN__seed3407__loss,PINN__seed3407__rel_l2_error,pinn-rar-s__seed1__loss,pinn-rar-s__seed1__rel_l2_error,pinn-rar-s__seed2__loss,pinn-rar-s__seed2__rel_l2_error,pinn-rar-s__seed3__loss,pinn-rar-s__seed3__rel_l2_error,pinn-rar-s__seed10__loss,pinn-rar-s__seed10__rel_l2_error,pinn-rar-s__seed42__loss,pinn-rar-s__seed42__rel_l2_error,pinn-rar-s__seed68__loss,pinn-rar-s__seed68__rel_l2_error,pinn-rar-s__seed79__loss,pinn-rar-s__seed79__rel_l2_error,pinn-rar-s__seed88__loss,pinn-rar-s__seed88__rel_l2_error,pinn-rar-s__seed203__loss,pinn-rar-s__seed203__rel_l2_error,pinn-rar-s__seed3407__loss,pinn-rar-s__seed3407__rel_l2_error
2000,0.0034,0.28,0.0032,0.55,0.0031,0.32,0.0035,0.48,0.0028,0.22,0.0044,0.21,0.0035,0.25,0.0026,0.18,0.005,0.3,0.001,0.23,0.0015,0.18,0.0043,0.28,0.0025,0.17,0.0043,0.3,0.0037,0.21,0.0018,0.18,0.0012,0.26,0.0019,0.19,0.0046,0.31,0.0017,0.2,0.0015,0.18,0.0043,0.28,0.0025,0.17,0.0043,0.3,0.0037,0.21,0.0018,0.18,0.0012,0.26,0.0019,0.19,0.0046,0.31,0.0017,0.2
2100,0.0055,0.27,0.0024,0.55,0.0028,0.31,0.0028,0.45,0.0046,0.24,0.008,0.25,0.0064,0.23,0.0051,0.19,0.0033,0.3,0.0032,0.24,0.0025,0.2,0.0019,0.28,0.0021,0.17,0.0039,0.31,0.0035,0.22,0.0033,0.17,0.001,0.25,0.0018,0.18,0.0023,0.3,0.00073,0.19,0.005,0.26,0.0033,0.36,0.0089,0.21,0.007,0.31,0.0069,0.24,0.0077,0.22,0.0035,0.27,0.0025,0.21,0.0047,0.33,0.0024,0.22
2200,0.0034,0.26,0.0017,0.56,0.0043,0.29,0.0037,0.43,0.0024,0.23,0.0069,0.22,0.0051,0.25,0.003,0.19,0.0028,0.3,0.0013,0.25,0.002,0.18,0.0014,0.26,0.0023,0.16,0.0049,0.31,0.0022,0.21,0.0027,0.16,0.0014,0.26,0.0016,0.19,0.0023,0.29,0.001,0.22,0.0053,0.23,0.0024,0.3,0.0056,0.22,0.0032,0.29,0.0036,0.25,0.0046,0.26,0.0031,0.24,0.0023,0.23,0.0043,0.32,0.0016,0.2
2300,0.003,0.27,0.0022,0.56,0.0049,0.27,0.0029,0.43,0.0028,0.21,0.0047,0.21,0.0044,0.23,0.0032,0.19,0.0034,0.29,0.0029,0.25,0.0029,0.19,0.0016,0.26,0.00079,0.16,0.0034,0.28,0.0013,0.21,0.0014,0.16,0.0029,0.25,0.0015,0.18,0.0043,0.28,0.00083,0.2,0.0028,0.2,0.0033,0.29,0.006,0.22,0.0059,0.29,0.0043,0.23,0.0041,0.22,0.0017,0.24,0.0022,0.19,0.0044,0.28,0.0015,0.19
2400,0.0043,0.26,0.0039,0.52,0.0024,0.26,0.0034,0.39,0.0039,0.2,0.0055,0.22,0.0045,0.22,0.0033,0.17,0.0028,0.28,0.0015,0.25,0.0021,0.19,0.0014,0.25,0.0029,0.15,0.0032,0.28,0.0011,0.19,0.0014,0.15,0.0015,0.23,0.001,0.18,0.002,0.26,0.0022,0.18,0.0042,0.2,0.0022,0.28,0.0083,0.21,0.0041,0.28,0.0029,0.2,0.0018,0.22,0.0019,0.24,0.0021,0.17,0.0029,0.26,0.0012,0.19
2500,0.0025,0.23,0.0024,0.53,0.002,0.24,0.0045,0.38,0.0017,0.21,0.0048,0.22,0.0048,0.25,0.0029,0.18,0.0019,0.27,0.0022,0.24,0.0014,0.17,0.0022,0.26,0.0023,0.17,0.0023,0.27,0.0024,0.21,0.0014,0.16,0.001,0.24,0.0014,0.17,0.0027,0.26,0.00097,0.18,0.003,0.19,0.0023,0.26,0.0054,0.18,0.0039,0.27,0.0018,0.2,0.0038,0.21,0.0013,0.27,0.0022,0.17,0.0023,0.24,0.00089,0.18
2600,0.0064,0.24,0.0013,0.47,0.0027,0.24,0.0034,0.36,0.0018,0.19,0.0056,0.19,0.0041,0.23,0.0029,0.18,0.0029,0.27,0.002,0.24,0.0021,0.18,0.002,0.22,0.0015,0.14,0.0031,0.25,0.0022,0.2,0.0014,0.17,0.0014,0.23,0.0006,0.17,0.0017,0.27,0.0015,0.18,0.0025,0.19,0.0038,0.25,0.0027,0.18,0.0038,0.27,0.0022,0.19,0.0018,0.2,0.0017,0.23,0.0017,0.18,0.0027,0.23,0.0017,0.17
2700,0.0022,0.23,0.0058,0.46,0.0042,0.23,0.0025,0.35,0.0026,0.19,0.0034,0.19,0.0031,0.24,0.0035,0.17,0.0024,0.29,0.0012,0.24,0.0012,0.17,0.002,0.23,0.0024,0.14,0.0035,0.26,0.0029,0.19,0.0017,0.16,0.0016,0.23,0.0008,0.16,0.0015,0.24,0.00061,0.21,0.00086,0.19,0.0039,0.25,0.0039,0.18,0.0026,0.27,0.0018,0.2,0.002,0.19,0.0015,0.23,0.0018,0.17,0.0016,0.22,0.0018,0.18
2800,0.0018,0.21,0.0021,0.41,0.005,0.23,0.0028,0.34,0.0028,0.19,0.0044,0.19,0.0018,0.22,0.0029,0.17,0.0027,0.28,0.0014,0.25,0.0015,0.18,0.0017,0.22,0.0015,0.15,0.0033,0.26,0.0023,0.18,0.00088,0.15,0.00094,0.24,0.0012,0.17,0.0018,0.26,0.0009,0.17,0.0017,0.17,0.0023,0.26,0.0048,0.16,0.0027,0.25,0.0025,0.18,0.0027,0.2,0.0017,0.25,0.0018,0.18,0.0027,0.23,0.0011,0.17
2900,0.0032,0.24,0.0039,0.38,0.0015,0.22,0.0025,0.3,0.002,0.18,0.004,0.2,0.0025,0.23,0.0019,0.17,0.0028,0.27,0.0018,0.24,0.002,0.17,0.00093,0.2,0.0011,0.17,0.0031,0.25,0.0039,0.21,0.0016,0.13,0.00094,0.22,0.001,0.15,0.0027,0.22,0.00064,0.17,0.0021,0.17,0.0023,0.25,0.0023,0.16,0.0025,0.24,0.0036,0.18,0.0027,0.17,0.0013,0.22,0.0015,0.17,0.0015,0.21,0.0006,0.16
